MPL 16 256
P 0 0 1 1.251 0 0 1.251 1.251 18
0.0695 0 0 1.39 0
0.139 0 0 1.39 0
0.2085 0 0 1.39 0
0.278 0 0 1.39 0
0.3475 0 0 1.39 0
0.417 0 0 1.39 0
0.4865 0 0 1.39 0
0.556 0 0 1.39 0
0.6255 0 0 1.39 0
0.695 0 0 1.39 0
0.7645 0 0 1.39 0
0.834 0 0 1.39 0
0.9035 0 0 1.39 0
0.973 0 0 1.39 0
1.0425 0 0 1.39 0
1.112 0 0 1.39 0
1.1815 0 0 1.39 0
1.251 0 0 1.39 0
P 0 1 1 1.24000259 0.141138426 0.24 1.251 1.287 18
0.0695 0 0.0133333333 1.39 0.266666667
0.138993822 0.00092663921 0.0266666667 1.39 0.266666667
0.208469113 0.0027797529 0.04 1.39 0.266666667
0.27791352 0.00555901162 0.0533333333 1.39 0.266666667
0.347314699 0.0092639213 0.0666666667 1.39 0.266666667
0.416660312 0.0138938233 0.08 1.39 0.266666667
0.48593803 0.0194478945 0.0933333333 1.39 0.266666667
0.555135539 0.0259251476 0.106666667 1.39 0.266666667
0.624240536 0.0333244311 0.12 1.39 0.266666667
0.693240736 0.0416444295 0.133333333 1.39 0.266666667
0.762123873 0.0508836638 0.146666667 1.39 0.266666667
0.830877701 0.0610404914 0.16 1.39 0.266666667
0.899489997 0.0721131067 0.173333333 1.39 0.266666667
0.967948564 0.0840995414 0.186666667 1.39 0.266666667
1.03624123 0.0969976644 0.2 1.39 0.266666667
1.10435586 0.110805183 0.213333333 1.39 0.266666667
1.17228034 0.125519642 0.226666667 1.39 0.266666667
1.24000259 0.141138426 0.24 1.39 0.266666667
P 0 15 1 1.24000259 -0.141138426 -0.24 1.251 1.287 18
0.0695 0 -0.0133333333 1.39 -0.266666667
0.138993822 -0.00092663921 -0.0266666667 1.39 -0.266666667
0.208469113 -0.0027797529 -0.04 1.39 -0.266666667
0.27791352 -0.00555901162 -0.0533333333 1.39 -0.266666667
0.347314699 -0.0092639213 -0.0666666667 1.39 -0.266666667
0.416660312 -0.0138938233 -0.08 1.39 -0.266666667
0.48593803 -0.0194478945 -0.0933333333 1.39 -0.266666667
0.555135539 -0.0259251476 -0.106666667 1.39 -0.266666667
0.624240536 -0.0333244311 -0.12 1.39 -0.266666667
0.693240736 -0.0416444295 -0.133333333 1.39 -0.266666667
0.762123873 -0.0508836638 -0.146666667 1.39 -0.266666667
0.830877701 -0.0610404914 -0.16 1.39 -0.266666667
0.899489997 -0.0721131067 -0.173333333 1.39 -0.266666667
0.967948564 -0.0840995414 -0.186666667 1.39 -0.266666667
1.03624123 -0.0969976644 -0.2 1.39 -0.266666667
1.10435586 -0.110805183 -0.213333333 1.39 -0.266666667
1.17228034 -0.125519642 -0.226666667 1.39 -0.266666667
1.24000259 -0.141138426 -0.24 1.39 -0.266666667
P 0 1 1 1.20736758 0.278455203 0.48 1.251 1.323 18
0.0695 0 0.0266666667 1.39 0.533333333
0.13897529 0.00185311369 0.0533333333 1.39 0.533333333
0.208376469 0.00555802337 0.08 1.39 0.533333333
0.277654188 0.0111120946 0.106666667 1.39 0.533333333
0.346759185 0.0185113781 0.133333333 1.39 0.533333333
0.415642322 0.0277506123 0.16 1.39 0.533333333
0.484254618 0.0388232277 0.186666667 1.39 0.533333333
0.552547285 0.0517213507 0.213333333 1.39 0.533333333
0.620471763 0.06643581 0.24 1.39 0.533333333
0.687979752 0.0829561426 0.266666667 1.39 0.533333333
0.75502325 0.101270601 0.293333333 1.39 0.533333333
0.821554584 0.121366163 0.32 1.39 0.533333333
0.887526446 0.143228539 0.346666667 1.39 0.533333333
0.952891924 0.166842183 0.373333333 1.39 0.533333333
1.01760454 0.192190305 0.4 1.39 0.533333333
1.08161828 0.21925488 0.426666667 1.39 0.533333333
1.14488762 0.248016663 0.453333333 1.39 0.533333333
1.20736758 0.278455203 0.48 1.39 0.533333333
P 0 15 1 1.20736758 -0.278455203 -0.48 1.251 1.323 18
0.0695 0 -0.0266666667 1.39 -0.533333333
0.13897529 -0.00185311369 -0.0533333333 1.39 -0.533333333
0.208376469 -0.00555802337 -0.08 1.39 -0.533333333
0.277654188 -0.0111120946 -0.106666667 1.39 -0.533333333
0.346759185 -0.0185113781 -0.133333333 1.39 -0.533333333
0.415642322 -0.0277506123 -0.16 1.39 -0.533333333
0.484254618 -0.0388232277 -0.186666667 1.39 -0.533333333
0.552547285 -0.0517213507 -0.213333333 1.39 -0.533333333
0.620471763 -0.06643581 -0.24 1.39 -0.533333333
0.687979752 -0.0829561426 -0.266666667 1.39 -0.533333333
0.75502325 -0.101270601 -0.293333333 1.39 -0.533333333
0.821554584 -0.121366163 -0.32 1.39 -0.533333333
0.887526446 -0.143228539 -0.346666667 1.39 -0.533333333
0.952891924 -0.166842183 -0.373333333 1.39 -0.533333333
1.01760454 -0.192190305 -0.4 1.39 -0.533333333
1.08161828 -0.21925488 -0.426666667 1.39 -0.533333333
1.14488762 -0.248016663 -0.453333333 1.39 -0.533333333
1.20736758 -0.278455203 -0.48 1.39 -0.533333333
P 0 2 1 1.15415286 0.408266428 0.72 1.251 1.359 18
0.0695 0 0.04 1.39 0.8
0.138944407 0.00277925873 0.08 1.39 0.8
0.208222126 0.00833332996 0.12 1.39 0.8
0.277222326 0.0166533284 0.16 1.39 0.8
0.345834622 0.0277259437 0.2 1.39 0.8
0.41394925 0.0415334622 0.24 1.39 0.8
0.481457239 0.0580537948 0.28 1.39 0.8
0.548250592 0.0772605123 0.32 1.39 0.8
0.614222453 0.0991228883 0.36 1.39 0.8
0.679267283 0.123605948 0.4 1.39 0.8
0.743281022 0.150670522 0.44 1.39 0.8
0.806161262 0.180273315 0.48 1.39 0.8
0.867807409 0.212366968 0.52 1.39 0.8
0.928120842 0.246900137 0.56 1.39 0.8
0.987005073 0.283817578 0.6 1.39 0.8
1.0443659 0.32306023 0.64 1.39 0.8
1.10011155 0.364565313 0.68 1.39 0.8
1.15415286 0.408266428 0.72 1.39 0.8
P 0 14 1 1.15415286 -0.408266428 -0.72 1.251 1.359 18
0.0695 0 -0.04 1.39 -0.8
0.138944407 -0.00277925873 -0.08 1.39 -0.8
0.208222126 -0.00833332996 -0.12 1.39 -0.8
0.277222326 -0.0166533284 -0.16 1.39 -0.8
0.345834622 -0.0277259437 -0.2 1.39 -0.8
0.41394925 -0.0415334622 -0.24 1.39 -0.8
0.481457239 -0.0580537948 -0.28 1.39 -0.8
0.548250592 -0.0772605123 -0.32 1.39 -0.8
0.614222453 -0.0991228883 -0.36 1.39 -0.8
0.679267283 -0.123605948 -0.4 1.39 -0.8
0.743281022 -0.150670522 -0.44 1.39 -0.8
0.806161262 -0.180273315 -0.48 1.39 -0.8
0.867807409 -0.212366968 -0.52 1.39 -0.8
0.928120842 -0.246900137 -0.56 1.39 -0.8
0.987005073 -0.283817578 -0.6 1.39 -0.8
1.0443659 -0.32306023 -0.64 1.39 -0.8
1.10011155 -0.364565313 -0.68 1.39 -0.8
1.15415286 -0.408266428 -0.72 1.39 -0.8
P 0 0 -1 -1.251 0 0 1.251 1.6263 18
-0.0695 0 0 -1.39 0
-0.139 0 0 -1.39 0
-0.2085 0 0 -1.39 0
-0.278 0 0 -1.39 0
-0.3475 0 0 -1.39 0
-0.417 0 0 -1.39 0
-0.4865 0 0 -1.39 0
-0.556 0 0 -1.39 0
-0.6255 0 0 -1.39 0
-0.695 0 0 -1.39 0
-0.7645 0 0 -1.39 0
-0.834 0 0 -1.39 0
-0.9035 0 0 -1.39 0
-0.973 0 0 -1.39 0
-1.0425 0 0 -1.39 0
-1.112 0 0 -1.39 0
-1.1815 0 0 -1.39 0
-1.251 0 0 -1.39 0
P 0 1 -1 -1.24000259 -0.141138426 0.24 1.251 1.6623 18
-0.0695 0 0.0133333333 -1.39 0.266666667
-0.138993822 -0.00092663921 0.0266666667 -1.39 0.266666667
-0.208469113 -0.0027797529 0.04 -1.39 0.266666667
-0.27791352 -0.00555901162 0.0533333333 -1.39 0.266666667
